game_id,TOI_result,TOI_home,TOI,other_team,TOI_points_tot,TOI_goals_scored_tot,TOI_goals_rec_tot,other_team_points_tot,other_team_goals_scored_tot,other_team_goals_rec_tot
/zapas/2526393,1.0,1.0,Buffalo Sabres,Edmonton Oilers,17.0,47.0,70.0,20.0,54.0,71.0
/zapas/2526403,0.0,0.0,Buffalo Sabres,Montreal Canadiens,20.0,48.0,65.0,22.0,50.0,70.0
/zapas/2526496,0.0,0.0,Buffalo Sabres,Chicago Blackhawks,19.0,40.0,64.0,26.0,56.0,59.0
/zapas/2526511,0.0,0.0,Buffalo Sabres,St. Louis Blues,18.0,37.0,63.0,38.0,67.0,50.0
/zapas/2526520,1.0,1.0,Buffalo Sabres,Ottawa Senators,16.0,38.0,66.0,18.0,47.0,77.0
/zapas/2526545,0.0,1.0,Buffalo Sabres,Carolina Hurricanes,19.0,39.0,62.0,26.0,55.0,63.0
/zapas/2526605,0.0,0.0,Buffalo Sabres,Carolina Hurricanes,17.0,38.0,62.0,27.0,57.0,68.0
/zapas/2526614,0.0,0.0,Buffalo Sabres,New York Islanders,17.0,39.0,62.0,31.0,75.0,74.0
/zapas/2526655,0.0,1.0,Buffalo Sabres,New York Rangers,18.0,40.0,61.0,32.0,60.0,48.0
/zapas/2526750,0.0,0.0,Buffalo Sabres,New York Rangers,19.0,44.0,68.0,29.0,55.0,53.0
/zapas/2526763,0.0,1.0,Buffalo Sabres,Dallas Stars,19.0,47.0,70.0,30.0,57.0,52.0
/zapas/2526785,1.0,0.0,Buffalo Sabres,Calgary Flames,19.0,48.0,73.0,34.0,54.0,44.0
/zapas/2526793,1.0,0.0,Buffalo Sabres,Edmonton Oilers,21.0,49.0,69.0,29.0,53.0,57.0
/zapas/2526812,1.0,0.0,Buffalo Sabres,Vancouver Canucks,21.0,50.0,67.0,15.0,49.0,78.0
/zapas/2526831,0.0,1.0,Buffalo Sabres,Florida Panthers,22.0,51.0,64.0,27.0,51.0,62.0
/zapas/2526850,0.0,1.0,Buffalo Sabres,St. Louis Blues,19.0,50.0,66.0,29.0,47.0,50.0
/zapas/2526880,1.0,1.0,Buffalo Sabres,New York Islanders,19.0,48.0,64.0,24.0,60.0,77.0
/zapas/2526936,0.0,0.0,Buffalo Sabres,Ottawa Senators,24.0,57.0,65.0,21.0,54.0,75.0
/zapas/2526989,1.0,0.0,Buffalo Sabres,Detroit Red Wings,22.0,55.0,63.0,24.0,51.0,57.0
/zapas/2527046,0.0,0.0,Buffalo Sabres,Florida Panthers,26.0,54.0,56.0,37.0,68.0,64.0
/zapas/2527083,0.0,1.0,Buffalo Sabres,Calgary Flames,29.0,56.0,52.0,24.0,55.0,70.0
/zapas/2527089,1.0,0.0,Buffalo Sabres,Ottawa Senators,27.0,55.0,56.0,20.0,55.0,67.0
/zapas/2527152,1.0,1.0,Buffalo Sabres,Chicago Blackhawks,24.0,52.0,63.0,17.0,51.0,72.0
/zapas/2527186,0.0,1.0,Buffalo Sabres,Arizona Coyotes,27.0,55.0,65.0,36.0,56.0,48.0
/zapas/2527200,0.0,1.0,Buffalo Sabres,Montreal Canadiens,26.0,53.0,65.0,18.0,43.0,68.0
/zapas/2527213,0.0,0.0,Buffalo Sabres,New York Rangers,23.0,49.0,65.0,22.0,57.0,72.0
/zapas/2527245,0.0,1.0,Buffalo Sabres,Detroit Red Wings,23.0,45.0,65.0,12.0,46.0,68.0
/zapas/2527292,0.0,1.0,Buffalo Sabres,Ottawa Senators,22.0,48.0,70.0,16.0,55.0,73.0
/zapas/2527316,0.0,0.0,Buffalo Sabres,Florida Panthers,20.0,50.0,76.0,40.0,62.0,46.0
/zapas/2647217,1.0,1.0,Buffalo Sabres,New York Rangers,17.0,48.0,78.0,22.0,56.0,70.0
/zapas/2647267,1.0,0.0,Buffalo Sabres,Arizona Coyotes,18.0,48.0,79.0,29.0,53.0,49.0
/zapas/2647333,1.0,1.0,Buffalo Sabres,Montreal Canadiens,21.0,49.0,73.0,26.0,57.0,64.0
/zapas/2647381,0.0,0.0,Buffalo Sabres,Ottawa Senators,26.0,57.0,72.0,18.0,56.0,78.0
/zapas/2647393,1.0,1.0,Buffalo Sabres,Ottawa Senators,26.0,58.0,71.0,21.0,58.0,75.0
/zapas/2647406,0.0,0.0,Buffalo Sabres,New York Rangers,26.0,64.0,71.0,16.0,47.0,70.0
/zapas/2647428,1.0,0.0,Buffalo Sabres,Montreal Canadiens,26.0,62.0,68.0,28.0,61.0,64.0
/zapas/2647440,1.0,1.0,Buffalo Sabres,Vancouver Canucks,25.0,61.0,69.0,31.0,67.0,69.0
/zapas/2647492,1.0,0.0,Buffalo Sabres,Minnesota Wild,32.0,60.0,58.0,36.0,62.0,56.0
/zapas/2647516,1.0,1.0,Buffalo Sabres,Philadelphia Flyers,37.0,65.0,56.0,27.0,63.0,71.0
/zapas/2647533,1.0,1.0,Buffalo Sabres,Montreal Canadiens,37.0,67.0,57.0,31.0,65.0,71.0
/zapas/2647549,1.0,0.0,Buffalo Sabres,Detroit Red Wings,36.0,66.0,57.0,25.0,57.0,63.0
/zapas/2647588,0.0,0.0,Buffalo Sabres,Florida Panthers,37.0,71.0,56.0,27.0,68.0,74.0
/zapas/2647642,0.0,1.0,Buffalo Sabres,Philadelphia Flyers,33.0,67.0,57.0,26.0,57.0,67.0
/zapas/2647664,1.0,1.0,Buffalo Sabres,Los Angeles Kings,30.0,65.0,60.0,22.0,46.0,55.0
/zapas/2647677,1.0,1.0,Buffalo Sabres,Arizona Coyotes,31.0,65.0,58.0,28.0,57.0,61.0
/zapas/2647715,0.0,1.0,Buffalo Sabres,Florida Panthers,34.0,63.0,57.0,27.0,67.0,72.0
/zapas/2647750,1.0,1.0,Buffalo Sabres,Anaheim Ducks,32.0,59.0,56.0,33.0,54.0,58.0
/zapas/2647821,1.0,1.0,Buffalo Sabres,Florida Panthers,26.0,55.0,59.0,26.0,63.0,72.0
/zapas/2647856,1.0,1.0,Buffalo Sabres,New Jersey Devils,24.0,50.0,58.0,23.0,59.0,70.0
/zapas/2647908,0.0,0.0,Buffalo Sabres,Edmonton Oilers,21.0,52.0,62.0,26.0,58.0,66.0
/zapas/2647937,0.0,0.0,Buffalo Sabres,Vancouver Canucks,22.0,52.0,64.0,31.0,57.0,51.0
/zapas/2647979,0.0,1.0,Buffalo Sabres,Chicago Blackhawks,24.0,54.0,61.0,29.0,72.0,75.0
/zapas/2648008,1.0,1.0,Buffalo Sabres,Minnesota Wild,22.0,53.0,65.0,28.0,45.0,58.0
/zapas/2648037,1.0,1.0,Buffalo Sabres,Detroit Red Wings,21.0,57.0,70.0,21.0,55.0,63.0
/zapas/2648086,0.0,1.0,Buffalo Sabres,New York Rangers,24.0,57.0,66.0,27.0,54.0,67.0
/zapas/2648104,0.0,0.0,Buffalo Sabres,New Jersey Devils,21.0,56.0,72.0,19.0,56.0,76.0
/zapas/2648114,0.0,0.0,Buffalo Sabres,Florida Panthers,21.0,56.0,72.0,25.0,57.0,66.0
/zapas/2648168,0.0,0.0,Buffalo Sabres,Philadelphia Flyers,21.0,59.0,74.0,39.0,67.0,58.0
/zapas/2648215,0.0,1.0,Buffalo Sabres,Edmonton Oilers,20.0,56.0,77.0,23.0,57.0,69.0
/zapas/2648236,0.0,0.0,Buffalo Sabres,Chicago Blackhawks,20.0,57.0,74.0,30.0,86.0,83.0
/zapas/2648354,0.0,0.0,Buffalo Sabres,Montreal Canadiens,15.0,44.0,71.0,28.0,55.0,57.0
/zapas/2648368,0.0,0.0,Buffalo Sabres,New Jersey Devils,12.0,45.0,77.0,19.0,46.0,65.0
/zapas/2648379,0.0,0.0,Buffalo Sabres,Ottawa Senators,12.0,45.0,77.0,14.0,50.0,77.0
/zapas/2648387,0.0,1.0,Buffalo Sabres,Detroit Red Wings,9.0,42.0,80.0,22.0,50.0,72.0
/zapas/2648440,1.0,1.0,Buffalo Sabres,Ottawa Senators,9.0,43.0,81.0,21.0,52.0,68.0
/zapas/2648459,1.0,0.0,Buffalo Sabres,Detroit Red Wings,9.0,43.0,81.0,25.0,54.0,66.0
/zapas/2806394,1.0,1.0,Buffalo Sabres,New Jersey Devils,15.0,48.0,73.0,19.0,42.0,66.0
/zapas/2806472,0.0,0.0,Buffalo Sabres,Anaheim Ducks,23.0,57.0,65.0,39.0,61.0,52.0
/zapas/2806482,1.0,0.0,Buffalo Sabres,Los Angeles Kings,23.0,59.0,68.0,25.0,61.0,73.0
/zapas/2806499,1.0,0.0,Buffalo Sabres,San Jose Sharks,26.0,62.0,63.0,27.0,53.0,65.0
/zapas/2806510,1.0,1.0,Buffalo Sabres,San Jose Sharks,29.0,64.0,62.0,24.0,51.0,67.0
/zapas/2806535,1.0,0.0,Buffalo Sabres,Detroit Red Wings,29.0,64.0,64.0,28.0,55.0,68.0
/zapas/2806680,1.0,1.0,Buffalo Sabres,Ottawa Senators,33.0,66.0,56.0,24.0,55.0,68.0
/zapas/2806795,1.0,1.0,Buffalo Sabres,New Jersey Devils,24.0,51.0,64.0,27.0,56.0,67.0
/zapas/2806928,1.0,1.0,Buffalo Sabres,Los Angeles Kings,25.0,64.0,71.0,31.0,53.0,51.0
/zapas/2806951,0.0,0.0,Buffalo Sabres,Ottawa Senators,28.0,64.0,68.0,27.0,56.0,63.0
/zapas/2807081,1.0,0.0,Buffalo Sabres,Detroit Red Wings,25.0,60.0,70.0,14.0,40.0,74.0
/zapas/2807150,0.0,1.0,Buffalo Sabres,Ottawa Senators,27.0,57.0,65.0,21.0,57.0,76.0
/zapas/2807203,0.0,1.0,Buffalo Sabres,Detroit Red Wings,20.0,46.0,67.0,9.0,37.0,75.0
/zapas/2807232,0.0,1.0,Buffalo Sabres,Anaheim Ducks,23.0,47.0,65.0,23.0,54.0,67.0
/zapas/2807242,1.0,1.0,Buffalo Sabres,Detroit Red Wings,23.0,48.0,62.0,14.0,38.0,68.0
/zapas/2807298,0.0,0.0,Buffalo Sabres,Ottawa Senators,28.0,56.0,61.0,17.0,47.0,73.0
/zapas/2893249,1.0,0.0,Buffalo Sabres,Philadelphia Flyers,22.0,52.0,65.0,24.0,48.0,67.0
/zapas/2893256,0.0,0.0,Buffalo Sabres,Philadelphia Flyers,23.0,56.0,65.0,24.0,47.0,68.0
/zapas/2893309,1.0,1.0,Buffalo Sabres,New York Rangers,22.0,56.0,63.0,15.0,45.0,67.0
/zapas/2893323,0.0,1.0,Buffalo Sabres,New York Rangers,25.0,57.0,62.0,15.0,46.0,65.0
/zapas/2893335,1.0,1.0,Buffalo Sabres,New Jersey Devils,23.0,56.0,63.0,31.0,48.0,53.0
/zapas/2893347,0.0,1.0,Buffalo Sabres,New Jersey Devils,23.0,56.0,63.0,32.0,49.0,52.0
/zapas/2893491,1.0,0.0,Buffalo Sabres,New Jersey Devils,14.0,45.0,65.0,36.0,56.0,52.0
/zapas/2893506,1.0,0.0,Buffalo Sabres,New Jersey Devils,17.0,46.0,63.0,30.0,54.0,56.0
